identifier,latitude,longitude,resource,taille
89,-24,32,RESOURCE_BANANAS,4.94092615
90,-24,33,RESOURCE_BANANAS,4.370843467
91,-24,34,RESOURCE_BANANAS,4.455256
113,-23,28,RESOURCE_BANANAS,4.46093025
114,-23,29,RESOURCE_BANANAS,4.642339262
115,-23,30,RESOURCE_BANANAS,4.54061605
215,-19,121,RESOURCE_BANANAS,4.62643715
216,-19,142,RESOURCE_BANANAS,4.889767533
217,-19,143,RESOURCE_BANANAS,4.995640553
218,-19,144,RESOURCE_BANANAS,4.836283277
250,-18,143,RESOURCE_BANANAS,4.692320725
251,-18,144,RESOURCE_BANANAS,5.001723636
252,-18,145,RESOURCE_BANANAS,5.059341684
286,-17,143,RESOURCE_BANANAS,4.7436765
287,-17,144,RESOURCE_BANANAS,4.775780794
288,-17,145,RESOURCE_BANANAS,5.216045619
319,-16,125,RESOURCE_BANANAS,4.320512
320,-16,143,RESOURCE_BANANAS,4.856589627
321,-16,144,RESOURCE_BANANAS,5.262557647
348,-15,142,RESOURCE_BANANAS,5.137948325
351,-15,145,RESOURCE_BANANAS,5.298975629
356,-14,-55,RESOURCE_BANANAS,4.476473
373,-14,141,RESOURCE_BANANAS,4.81491115
375,-14,143,RESOURCE_BANANAS,5.522314681
376,-14,144,RESOURCE_BANANAS,5.05190415
383,-13,-52,RESOURCE_BANANAS,4.9265549
393,-13,35,RESOURCE_BANANAS,4.56882796
396,-13,142,RESOURCE_BANANAS,5.400382707
397,-13,143,RESOURCE_BANANAS,5.494268185
404,-12,-52,RESOURCE_BANANAS,4.9068216
405,-12,-51,RESOURCE_BANANAS,4.7700041
406,-12,-48,RESOURCE_BANANAS,4.734354725
420,-12,142,RESOURCE_BANANAS,4.947715215
421,-12,143,RESOURCE_BANANAS,5.00758735
431,-11,-51,RESOURCE_BANANAS,4.69416585
432,-11,-50,RESOURCE_BANANAS,4.423232
434,-11,-48,RESOURCE_BANANAS,4.3346395
461,-10,-48,RESOURCE_BANANAS,4.88522835
462,-10,-41,RESOURCE_BANANAS,5.512148117
486,-9,-72,RESOURCE_BANANAS,5.58881192
487,-9,-70,RESOURCE_BANANAS,4.5212355
490,-9,-67,RESOURCE_BANANAS,5.8381059
498,-9,-47,RESOURCE_BANANAS,4.5293193
499,-9,-45,RESOURCE_BANANAS,4.599971
501,-9,-40,RESOURCE_BANANAS,6.036725107
502,-9,-39,RESOURCE_BANANAS,5.209842481
535,-8,-72,RESOURCE_BANANAS,4.858097667
536,-8,-71,RESOURCE_BANANAS,5.553946588
537,-8,-70,RESOURCE_BANANAS,5.547808882
